timestep,hour_of_day,day,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_max,v_mean,line_loading_max,v_severity,n_buses_below_090,renewable_pct,converged,blackout,severity,p_load_lag_1h,p_load_lag_3h,p_solar_lag_1h,soc_lag_1h,load_rolling_avg_6h,solar_rolling_avg_6h,v_min_rolling_min_6h,soc_rate_of_change,load_rate_of_change,load_solar_diff,grid_stress_index,solar_load_ratio,soc_deficit,v_violation_margin,net_power_balance,is_night,blackout_prob_ml,blackout_pred_ml,in_test_window,prediction_correct
14,14,0,1.771918,1.405477,0.0,0.366441,0.1,0.979916,1.051512,1.002309,0.0001,0.0,0,79.32,1,0,0,1.762982,1.770615,1.121834,0.1,1.7858128333333332,1.1779706666666667,0.973231,0.0,0.008936000000000055,0.366441,0.5580748741588156,0.7931948356555802,0.9,0.05991599999999997,-0.366441,0,0.0,0,0,1
15,15,0,1.794054,0.979318,0.0,0.814736,0.1,0.97447,1.025604,0.994847,0.0001,0.0,0,54.59,1,0,0,1.771918,1.803802,1.405477,0.1,1.7837053333333335,1.191123,0.97447,0.0,0.022135999999999934,0.814736,0.631087556303275,0.5458684377011853,0.9,0.05446999999999991,-0.814736,0,0.0,0,0,1
16,16,0,1.797849,0.701201,0.0,1.096648,0.1,0.970922,1.007962,0.989817,0.0001,0.0,0,39.0,1,0,0,1.794054,1.762982,0.979318,0.1,1.7835366666666665,1.1336468333333334,0.970922,0.0,0.003794999999999993,1.096648,0.6777809010767161,0.39002197068720973,0.9,0.05092199999999991,-1.096648,0,0.0,0,0,1
17,17,0,1.835215,0.245738,0.0,1.589477,0.1,0.963988,1.0,0.980568,0.0001,0.0,0,13.39,1,0,0,1.797849,1.771918,0.701201,0.1,1.7943033333333334,0.9726301666666667,0.963988,0.0,0.03736600000000001,1.589477,0.7570441152983401,0.13390140452132065,0.9,0.043987999999999916,-1.589477,0,0.0,0,0,1
18,18,0,1.951423,0.01538,0.0,1.936043,0.1,0.957208,1.0,0.974214,0.0001,0.0,0,0.79,1,0,0,1.835215,1.794054,0.245738,0.1,1.8189068333333334,0.7448246666666667,0.957208,0.0,0.11620799999999987,1.936043,0.8058640331987439,0.007881424026761995,0.9,0.03720799999999991,-1.936043,0,0.0,0,0,1
19,19,0,1.938451,0.0,0.0,1.938451,0.1,0.956374,1.0,0.974067,0.0001,0.0,0,0.0,1,0,0,1.951423,1.797849,0.01538,0.1,1.8481516666666666,0.5578523333333333,0.956374,0.0,-0.012971999999999984,1.938451,0.8072634365186181,0.0,0.9,0.036373999999999906,-1.938451,0,0.0,0,0,1
20,20,0,1.925191,0.0,0.0,1.925191,0.1,0.956684,1.0,0.974251,0.0001,0.0,0,0.0,1,0,0,1.938451,1.835215,0.0,0.1,1.8736971666666669,0.3236061666666667,0.956374,0.0,-0.013259999999999827,1.925191,0.8060736653207717,0.0,0.9,0.03668399999999994,-1.925191,0,0.0,0,0,1
21,21,0,1.904693,0.0,0.0,1.904693,0.1,0.957163,1.0,0.974535,0.0001,0.0,0,0.0,1,0,0,1.925191,1.951423,0.0,0.1,1.892137,0.1603865,0.956374,0.0,-0.020498000000000127,1.904693,0.8042344549125168,0.0,0.9,0.037162999999999946,-1.904693,1,0.0,0,0,1
22,22,0,1.819102,0.0,0.0,1.819102,0.1,0.959159,1.0,0.97572,0.0001,0.0,0,0.0,1,0,0,1.904693,1.938451,0.0,0.1,1.8956791666666666,0.04351966666666667,0.956374,0.0,-0.08559099999999997,1.819102,0.796554688200987,0.0,0.9,0.039158999999999944,-1.819102,1,0.0,0,0,1
23,23,0,1.717996,0.0,0.0,1.717996,0.1,0.961508,1.0,0.977113,0.0001,0.0,0,0.0,1,0,0,1.819102,1.925191,0.0,0.1,1.8761426666666667,0.0025633333333333333,0.956374,0.0,-0.10110599999999992,1.717996,0.787482817406909,0.0,0.9,0.04150799999999999,-1.717996,1,0.0,0,0,1
24,0,1,1.683316,0.0,0.0,1.683316,0.1,0.962312,1.0,0.97759,0.0001,0.0,0,0.0,1,0,0,1.717996,1.904693,0.0,0.1,1.8314581666666667,0.0,0.956374,0.0,-0.034680000000000044,1.683316,0.7843711081202334,0.0,0.9,0.042311999999999905,-1.683316,1,0.0,0,0,1
25,1,1,1.605213,0.0,0.0,1.605213,0.1,0.964117,1.0,0.978661,0.0001,0.0,0,0.0,1,0,0,1.683316,1.819102,0.0,0.1,1.7759185000000002,0.0,0.956684,0.0,-0.07810300000000003,1.605213,0.7773632122027815,0.0,0.9,0.04411699999999996,-1.605213,1,0.0,0,0,1
26,2,1,1.59248,0.0,0.0,1.59248,0.1,0.964411,1.0,0.978836,0.0001,0.0,0,0.0,1,0,0,1.605213,1.717996,0.0,0.1,1.7204666666666666,0.0,0.957163,0.0,-0.012733000000000105,1.59248,0.7762207267833109,0.0,0.9,0.04441099999999998,-1.59248,1,0.0,0,0,1
27,3,1,1.593754,0.0,0.0,1.593754,0.1,0.964381,1.0,0.978818,0.0001,0.0,0,0.0,1,0,0,1.59248,1.683316,0.0,0.1,1.6686435,0.0,0.959159,0.0,0.0012739999999999974,1.593754,0.7763350381336922,0.0,0.9,0.044381000000000004,-1.593754,1,0.0,0,0,1
28,4,1,1.616982,0.086943,0.0,1.530039,0.1,0.966553,1.0,0.980307,0.0001,0.0,0,5.38,1,0,0,1.593754,1.605213,0.0,0.1,1.6349568333333335,0.014490500000000002,0.961508,0.0,0.023228000000000026,1.530039,0.7639287014356214,0.05376865433959418,0.9,0.046552999999999956,-1.530039,1,0.0,0,0,1
29,5,1,1.810755,0.372004,0.0,1.438751,0.1,0.966282,1.0,0.983404,0.0001,0.0,0,20.54,1,0,0,1.616982,1.59248,0.086943,0.1,1.6504166666666666,0.07649116666666667,0.962312,0.0,0.19377299999999997,1.438751,0.7338050758187529,0.20544126320719083,0.9,0.046281999999999934,-1.438751,1,0.0,0,0,1
30,6,1,2.305849,0.844305,0.0,1.461543,0.1,0.961596,1.006176,0.985678,0.0001,0.0,0,36.62,1,0,0,1.810755,1.593754,0.372004,0.1,1.7541721666666668,0.2172086666666667,0.961596,0.0,0.4950939999999999,1.461544,0.6995112124270974,0.36615781598976516,0.9,0.041595999999999966,-1.461544,0,0.0,0,0,1
31,7,1,2.670523,1.002875,0.0,1.667647,0.1,0.955496,1.008345,0.983653,0.0001,0.0,0,37.55,1,0,0,2.305849,1.616982,0.844305,0.1,1.9317238333333335,0.3843545,0.955496,0.0,0.3646740000000004,1.6676480000000002,0.7058037404665769,0.3755349137472645,0.9,0.03549599999999997,-1.6676480000000002,0,0.0,0,0,1
32,8,1,2.916044,1.268761,0.0,1.647283,0.1,0.953292,1.019535,0.985037,0.0001,0.0,0,43.51,1,0,0,2.670523,1.810755,1.002875,0.1,2.1523178333333335,0.5958146666666667,0.953292,0.0,0.24552099999999966,1.6472829999999998,0.6835191065500225,0.43509650914166276,0.9,0.03329199999999999,-1.6472829999999998,0,0.0,0,0,1
33,9,1,3.385088,1.248741,0.0,2.136347,0.1,0.942419,1.008169,0.978339,0.0001,0.0,0,36.89,1,0,0,2.916044,2.305849,1.268761,0.1,2.4508735,0.8039381666666667,0.942419,0.0,0.46904400000000024,2.1363469999999998,0.728941372139973,0.36889458445553425,0.9,0.022418999999999967,-2.1363469999999998,0,0.0,0,0,1
34,10,1,3.485804,1.497901,0.0,1.987903,0.1,0.943166,1.021138,0.981272,0.0001,0.0,0,42.97,1,0,0,3.385088,2.670523,1.248741,0.1,2.762343833333333,1.0390978333333334,0.942419,0.0,0.1007159999999998,1.987903,0.6964515829968595,0.42971451357720813,0.9,0.02316599999999991,-1.987903,0,2e-06,0,0,1
35,11,1,3.474366,1.371154,0.0,2.103212,0.1,0.941891,1.013743,0.979258,0.0001,0.0,0,39.46,1,0,0,3.485804,2.916044,1.497901,0.1,3.039612333333333,1.2056228333333332,0.941891,0.0,-0.01143800000000006,2.103212,0.7165497931807986,0.39464857915125257,0.9,0.021890999999999994,-2.103212,0,1e-06,0,0,1
36,12,1,3.543975,1.16538,0.0,2.378595,0.1,0.93771,1.0,0.974671,0.0002,0.0,0,32.88,1,0,0,3.474366,3.385088,1.371154,0.1,3.2459666666666664,1.2591353333333333,0.93771,0.0,0.06960900000000025,2.378595,0.7570912202781517,0.3288340553096296,0.9,0.017710000000000004,-2.378595,0,3e-06,0,0,1
37,13,1,3.432531,0.869199,0.0,2.563332,0.1,0.936391,1.0,0.970746,0.0002,0.0,0,25.32,1,0,0,3.543975,3.485804,1.16538,0.1,3.3729679999999997,1.2368560000000002,0.936391,0.0,-0.1114440000000001,2.563332,0.7964552586361596,0.25322385923860286,0.9,0.016390999999999933,-2.563332,0,0.000228,0,0,1
38,14,1,3.432463,0.436179,0.0,2.996284,0.1,0.930256,1.0,0.962167,0.0002,0.0,0,12.71,1,0,0,3.432531,3.474366,0.869199,0.1,3.4590378333333334,1.0980923333333334,0.930256,0.0,-6.800000000017903e-05,2.9962839999999997,0.8686191572454015,0.12707460296743098,0.9,0.010255999999999932,-2.9962839999999997,0,0.002168,0,0,1
39,15,1,3.433426,0.216063,0.0,3.217363,0.1,0.926877,1.0,0.957478,0.0002,0.0,0,6.29,1,0,0,3.432463,3.543975,0.436179,0.1,3.467094166666666,0.9259793333333333,0.926877,0.0,0.0009630000000000472,3.2173629999999998,0.9053915637056976,0.06292925406598131,0.9,0.006876999999999911,-3.2173629999999998,0,0.212524,0,0,1
